longitude,latitude,B2,B3,B4,B8,B11,B12,NDVI,EVI,SAVI,NBR,ETH_CanopyHeight,Elevation,Slope,Aspect,Class
111.69998094126517,-8.052453291083184,1466.0,1334.0,1126.0,2994.0,2923.0,1864.0,0.45339805,-3.754019292604502,0.6800145613396433,0.23260601,20,200,21,110,Secondary_Forest
111.69989110973675,-8.052812617196832,1028.0,1130.0,980.0,3112.0,2891.0,2156.0,0.5210166,4.154325798908808,0.7814294441050703,0.18147305,19,200,20,114,Secondary_Forest
111.70060976196405,-8.052543122611597,1220.0,1166.0,1078.0,2639.0,2886.0,1879.0,0.41996235,-92.91666666666666,0.6298587760591795,0.16821602,20,184,10,111,Secondary_Forest
111.69998094126517,-8.051914301912714,1064.0,1064.0,1164.0,2398.0,3247.0,2128.0,0.3464346,2.1988595866001424,0.519578947368421,0.059655324,16,207,19,94,Secondary_Forest
111.7017775718334,-8.04814137771941,1264.0,1282.0,1054.0,3164.0,2589.0,1520.0,0.5002371,586.1111111111111,0.7502666824700723,0.35098207,22,131,7,39,Secondary_Forest
111.70150807724816,-8.048680366889883,1730.0,1858.0,1450.0,3172.0,2627.0,1548.0,0.37256598,-3.9065335753176047,0.5587885343428881,0.34406778,19,136,6,93,Secondary_Forest
111.6957588594298,-8.0540702585946,2142.0,2566.0,2944.0,3344.0,3348.0,2909.0,0.06361323,0.20226537216828477,0.0954122604754711,0.06956661,20,121,2,178,Estate_Crop
111.69593852248663,-8.0540702585946,2436.0,2644.0,2830.0,3203.0,3726.0,3252.0,0.06182662,0.48719958202716823,0.09273224496560868,-0.0075910147,20,121,4,197,Estate_Crop
111.6957588594298,-8.05416009012301,2180.0,2708.0,3100.0,3312.0,3348.0,2909.0,0.033063006,0.09527233507100485,0.049590643274853796,0.064780585,20,120,2,161,Estate_Crop
111.6957588594298,-8.054249921651424,2366.0,2840.0,3204.0,3584.0,3595.0,3257.0,0.055981144,0.18759873617693523,0.08396552994034027,0.04780003,19,120,2,160,Estate_Crop
111.69566902790139,-8.054339753179836,2746.0,2832.0,2590.0,3952.0,3286.0,2530.0,0.20819321,-3.0898366606170597,0.3122659533817348,0.21937674,18,120,3,169,Estate_Crop
111.69566902790139,-8.054429584708247,2342.0,2622.0,2834.0,3432.0,3114.0,2302.0,0.09543569,0.5205431754874652,0.14314210484321394,0.1970701,19,119,3,169,Estate_Crop
